rank,primary_class,count
1,C15 - 15 - Manufacture of leather and related products,650
2,C31 - 31 - Manufacture of furniture,259
3,C21 - 21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,206
4,C12 - 12 - Manufacture of tobacco products,142
5,A02 - 02 - Forestry and logging,113
6,C13 - 13 - Manufacture of textiles,105
7,V99 - 99 - Activities of extraterritorial organizations and bodies,100
8,"C16 - 16 - Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",83
9,C23 - 23 - Manufacture of other non-metallic mineral products,80
10,N75 - 75 - Veterinary activities,73
11,"S91 - 91 - Library, archives, museum and other cultural activities",71
12,N72 - 72 - Scientific research and development,68
13,N70 - 70 - Activities of head offices; management consultancy activities,59
14,R86 - 86 - Human health activities,58
15,R87 - 87 - Residential care activities,56
16,C10 - 10 - Manufacture of food products,54
17,P84 - 84 - Public administration and defence; compulsory social security,47
18,C24 - 24 - Manufacture of basic metals,43
19,N69 - 69 - Legal and accounting activities,43
20,C28 - 28 - Manufacture of machinery and equipment n.e.c.,42
